Path accepted
                                                    ERRORS/ANOMALIES                                                    

Error/Anomalies:        User Story             Description:                                  Location
------------------------------------------------------------------------------------------------------------------------
ERROR                      US01            Birth occurs after current date                       @I10@                                             
ERROR                      US01            Birth occurs after current date                       @I15@                                             
ERROR                      US02            Birth of wife occurs after marriage                   @I1@                                              
ERROR                      US02            Birth of wife occurs after marriage                   @I1@                                              
ERROR                      US02            Birth of husband occurs after marraige                @I3@                                              
ERROR                      US02            Birth of husband occurs after marraige                @I15@                                             
ERROR                      US02            Birth of husband occurs after marraige                @I10@                                             
ERROR                      US02            Birth of husband occurs after marraige                @I10@                                             
ERROR                      US02            Birth of wife occurs after marriage                   @I17@                                             
ERROR                      US03            Birth occurs before death.                            @I3@                                              
ERROR                      US03            Birth occurs before death.                            @I10@                                             
ERROR                      US05            Death of Wife occurs before marriage                  @I1@                                              
ERROR                      US05            Death of Wife occurs before marriage                  @I1@                                              
ERROR                      US05            Death of Husband occurs before marriage               @I10@                                             
ERROR                      US05            Death of Husband occurs before marriage               @I10@                                             
ERROR                      US07            lived longer than 150 years                           @I9@                                              
ERROR                      US06            Death of Husband occurs before divorce                @I10@                                             
ERROR                      US04            Marriage occurs after divorce                         @F8@,@I10@,@I20@                                  
ERROR                      US08            Birth occurs before marriage                          @I23@                                             
ERROR                      US09            Child is born more than 9 months or after death of    @F7@,@I22@                                        
ERROR                      US09            Child is born more than 9 months or after death of    @F8@,@I23@                                        
ANOMALY                    US10            Husband is married before 14 years old                @F4@,@I15@                                        
ANOMALY                    US10            Husband is married before 14 years old                @F7@,@I10@                                        
ANOMALY                    US10            Husband is married before 14 years old                @F8@,@I10@                                        
ANOMALY                    US10            Wife is married before 14 years old                   @F10@,@I17@                                       
ANOMALY                    US10            Husband is married before 14 years old                @F11@,@I23@                                       
ERROR                      US11            Bigamy Occurs in family                               @F3@,@F4@,@I6@                                    
ERROR                      US12            Father is older than 80 years                         @F3@,@I10@                                        
ERROR                      US12            Mother is older than 60 years                         @F3@,@I10@                                        
ERROR                      US12            Father is older than 80 years                         @F6@,@I19@                                        
ERROR                      US14            More than 5 siblings born at once                     @F3@                                              
ERROR                      US15            Family has 15 or more siblings                        @F3@                                              
ERROR                      US16            Lastname not the same as father                       @I33@                                             
ERROR                      US18            Sibling is married to another sibling                 @I26@,@I25@                                       
